COMPONENT_ARBITRARY,YEAR,Y_LABEL,AG,CO,CR,CU,FE,H2O,MN,MO,NI,PQINDEX,TI,V,V40,ZN,ANONYMOUS_SUM
COMPONENT1,2007,0,0.0,0.0,2.0,3.0,23.5,0.0,1.0,21.0,0.0,17.0,0.0,0.0,101.30000000000001,1208.5,-1.953616522766057
COMPONENT1,2007,1,0.0,0.0,3.0,22.0,47.0,0.0,1.0,104.0,0.0,18.0,0.0,0.0,112.6,1280.0,-1.9603526464194856
COMPONENT1,2008,0,0.0,0.0,1.0,4.0,21.0,0.0,1.0,37.0,0.0,14.0,0.0,0.0,105.3,1225.0,-1.9583693510822742
COMPONENT1,2008,1,0.0,0.0,4.0,9.0,51.5,0.0,1.0,99.0,1.0,17.0,0.0,0.0,109.25,1278.0,-1.928165747149155
COMPONENT1,2009,0,0.0,0.0,2.0,4.0,24.0,0.0,1.0,37.0,0.0,12.0,0.0,0.0,103.2,1183.0,-1.9885977556730086
COMPONENT1,2009,1,0.0,0.0,3.0,10.5,55.5,0.0,1.0,15.5,0.0,18.0,0.0,0.0,106.95,1247.0,-1.983080650602656
COMPONENT1,2010,0,0.0,0.0,1.0,4.0,20.0,0.0,0.0,46.0,0.0,11.0,0.0,0.0,105.7,1166.0,-1.9903493257818172
COMPONENT1,2010,1,0.0,0.0,5.0,16.5,68.5,0.0,2.0,89.0,0.0,17.5,0.0,0.0,116.6,1193.0,-1.9913546043462111
COMPONENT1,2011,0,0.0,0.0,1.0,3.0,19.0,0.0,0.0,40.0,0.0,11.0,0.0,0.0,102.8,1178.0,-1.9903970339170765
COMPONENT1,2011,1,0.0,0.0,3.5,6.5,43.0,0.0,0.5,55.5,0.0,15.5,0.0,0.0,100.05,1132.5,-1.9789607123506139
COMPONENT1,2012,0,0.0,0.0,1.0,3.0,18.0,0.0,0.0,41.0,0.0,11.0,0.0,0.0,101.65,1161.5,-1.9899812915955306
COMPONENT1,2012,1,0.0,0.0,5.0,6.0,57.0,0.0,1.0,34.0,0.0,19.0,0.0,0.0,109.0,1156.0,-1.9832408136281696
COMPONENT1,2013,0,0.0,0.0,1.0,3.0,18.0,0.0,0.0,26.0,0.0,10.0,0.0,0.0,101.05,1161.5,-1.989102098817179
COMPONENT1,2013,1,0.0,0.0,4.0,6.0,35.0,0.0,0.0,18.0,0.0,21.0,0.0,0.0,106.5,1192.0,-1.9904651883960183
COMPONENT1,2014,0,0.0,0.0,1.0,2.0,16.0,0.0,0.0,38.0,0.0,11.0,0.0,0.0,101.9,1155.0,-1.9876981165509744
COMPONENT1,2014,1,0.0,0.0,2.0,5.5,38.0,0.0,1.0,38.0,0.0,18.0,0.0,0.0,99.9,1162.0,-1.9903663644015528
COMPONENT1,2015,0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,13.5,0.0,12.0,0.0,0.0,100.55,1167.0,-1.9807974755581002
COMPONENT1,2015,1,0.0,0.0,2.0,4.0,34.0,0.0,0.0,41.0,0.0,16.0,0.0,0.0,104.5,1210.0,-1.987773086477811
COMPONENT1,2016,0,0.0,0.0,1.0,2.5,20.0,0.0,0.0,12.5,0.0,13.0,0.0,0.0,99.95,1138.0,-1.9831999209408044
COMPONENT1,2016,1,0.0,0.0,2.0,14.0,37.0,0.0,0.0,6.0,0.0,14.0,0.0,0.0,97.1,1167.0,-1.978579047268539
COMPONENT1,2017,0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,5.0,0.0,13.0,0.0,0.0,98.9,1134.0,-1.953975280370488
COMPONENT1,2017,1,0.0,0.0,1.0,3.0,26.0,0.0,0.0,6.5,0.0,13.0,0.0,0.0,95.0,1120.5,-1.9376810589994393
COMPONENT1,2018,0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,4.5,0.0,10.0,0.0,0.0,98.8,1103.5,-1.9533906663955634
COMPONENT1,2018,1,0.0,0.0,1.0,7.0,31.0,0.0,1.0,6.0,0.0,21.0,0.0,0.0,92.5,1029.0,-1.9255066200987665
COMPONENT1,2019,0,0.0,0.0,1.0,3.0,22.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,99.2,1090.0,-1.9639258342960155
COMPONENT1,2019,1,0.0,0.0,2.0,8.0,42.0,0.0,1.0,6.0,0.0,24.0,0.0,0.0,98.6,1106.0,-1.9754166794456316
COMPONENT1,2020,0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,95.8,1074.0,-1.920808296974812
COMPONENT1,2020,1,0.0,0.0,3.0,11.0,52.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,93.4,1031.0,-1.920808296974812
COMPONENT1,2021,0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,97.05,1073.5,-1.9312336831551287
COMPONENT1,2021,1,0.0,0.0,1.0,11.0,41.5,0.0,0.0,2.5,0.0,13.5,0.0,0.0,94.35,1027.0,-1.8953904269894335
COMPONENT1,2022,0,0.0,0.0,0.0,2.0,18.5,0.0,0.0,6.0,0.0,5.0,0.0,0.0,95.7,1054.0,-1.9498188048268301
COMPONENT1,2022,1,0.0,0.0,0.0,2.5,21.0,0.0,0.0,30.5,0.0,10.0,0.0,0.0,104.44999999999999,1062.0,-1.922314609404788
COMPONENT2,2007,0,0.0,0.0,0.0,139.0,6.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,44.650000000000006,582.0,-1.9547454259825319
COMPONENT2,2007,1,0.0,0.0,0.5,138.0,23.5,0.0,1.0,0.0,0.0,33.5,0.0,0.0,46.55,496.0,-1.9586862694093543
COMPONENT2,2008,0,0.0,0.0,0.0,136.0,11.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,44.5,608.0,-1.9570198923992232
COMPONENT2,2008,1,0.0,0.0,1.0,142.5,92.5,0.0,1.0,0.0,0.0,37.5,0.0,0.0,48.95,488.5,-1.9607131425040376
COMPONENT2,2009,0,0.0,0.0,0.0,151.0,18.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,45.0,613.0,-1.9901925704802508
COMPONENT2,2009,1,0.0,0.0,0.0,145.0,55.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,46.8,513.0,-1.9929323805337178
COMPONENT2,2010,0,0.0,0.0,0.0,109.0,12.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,46.1,569.0,-1.9876299620720326
COMPONENT2,2010,1,0.0,0.0,1.0,82.0,68.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,59.2,442.0,-1.9901857550323565
COMPONENT2,2011,0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,48.2,566.0,-1.9904924501875954
COMPONENT2,2011,1,0.0,0.0,1.0,92.0,64.5,0.0,1.0,0.0,0.0,36.0,0.0,0.0,57.85,417.0,-1.9894530943837303
COMPONENT2,2012,0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,46.1,590.0,-1.9908877461654588
COMPONENT2,2012,1,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,57.8,435.0,-1.9880525198414727
COMPONENT2,2013,0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,47.9,579.0,-1.9896337037529264
COMPONENT2,2013,1,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,56.9,414.0,-1.981107578437286
COMPONENT2,2014,0,0.0,0.0,0.0,6.5,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,50.7,539.5,-1.9874527604267835
COMPONENT2,2014,1,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,50.5,414.0,-1.9832230588454967
COMPONENT2,2015,0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,49.9,501.0,-1.9846720576859513
COMPONENT2,2015,1,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,49.1,435.0,-1.9874868376662544
COMPONENT2,2016,0,0.0,0.0,0.0,6.5,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,46.9,572.0,-1.983326006726847
COMPONENT2,2016,1,0.0,0.0,0.0,8.5,11.5,0.0,0.0,0.0,0.0,21.0,0.0,0.0,58.75,372.5,-1.9810837243696562
COMPONENT2,2017,0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,53.45,480.0,-1.9509662601251998
COMPONENT2,2017,1,0.0,0.0,0.0,10.0,9.5,0.0,0.0,0.0,0.0,27.5,0.0,0.0,57.95,389.5,-1.9613598181638503
COMPONENT2,2018,0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,48.6,503.0,-1.9567764294550027
COMPONENT2,2018,1,0.0,0.0,0.0,8.5,8.5,0.0,0.0,0.0,0.0,29.0,0.0,0.0,54.05,441.5,-1.9437610118841397
COMPONENT2,2019,0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,46.4,507.0,-1.9689897120814037
COMPONENT2,2019,1,0.0,0.0,0.0,11.0,5.5,0.0,0.0,0.0,0.0,27.0,0.0,0.0,45.55,480.0,-1.944035922170398
COMPONENT2,2020,0,0.0,0.0,0.0,13.5,3.5,0.0,0.0,0.0,0.0,13.0,0.0,0.0,53.7,474.5,-1.9127621749998232
COMPONENT2,2020,1,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,53.45,355.0,-1.9215892823944596
COMPONENT2,2021,0,0.0,0.0,0.0,10.5,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,51.900000000000006,486.0,-1.9240544623523044
COMPONENT2,2021,1,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,53.5,344.0,-1.927960715758338
COMPONENT2,2022,0,0.0,0.0,0.0,23.5,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,46.5,603.5,-1.8697908701450008
COMPONENT2,2022,1,0.0,0.0,0.0,22.5,3.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,47.55,491.5,-1.9139074753184775
COMPONENT3,2007,0,0.0,0.0,2.0,6.0,168.0,0.0,2.0,2.0,1.0,165.0,0.0,0.0,145.1,56.0,-1.941890794563847
COMPONENT3,2007,1,0.0,0.0,5.0,12.0,299.0,0.0,5.0,2.0,1.0,963.0,0.0,0.0,141.2,53.0,-1.9591487916670656
COMPONENT3,2008,0,0.0,0.0,2.0,6.0,166.0,0.0,2.0,2.0,1.0,156.5,0.0,0.0,141.75,60.0,-1.9550139578750148
COMPONENT3,2008,1,0.0,0.0,5.0,13.0,402.5,0.0,6.0,2.0,1.0,975.5,0.0,0.0,141.95,53.5,-1.960025504920564
COMPONENT3,2009,0,0.0,0.0,2.0,5.0,127.0,0.0,2.0,1.0,0.0,136.0,0.0,0.0,141.3,41.0,-1.9900017379392132
COMPONENT3,2009,1,0.0,0.0,5.0,9.0,378.0,0.0,5.0,1.0,1.0,1085.0,0.0,0.0,140.5,45.0,-1.9894905793471485
COMPONENT3,2010,0,0.0,0.0,1.0,5.0,97.5,0.0,1.0,0.0,0.0,99.5,0.0,0.0,137.3,31.0,-1.985673928526398
COMPONENT3,2010,1,0.0,0.0,6.0,6.0,438.0,0.0,6.0,1.0,1.0,881.0,0.0,0.0,137.3,46.0,-1.9831794745971218
COMPONENT3,2011,0,0.0,0.0,1.0,4.0,94.5,0.0,1.0,0.0,0.0,90.0,0.0,0.0,136.7,34.5,-1.9915761064027726
COMPONENT3,2011,1,0.0,0.0,5.0,4.0,367.0,0.0,5.0,1.0,1.0,688.0,0.0,0.0,139.9,41.0,-1.9858238683800704
COMPONENT3,2012,0,0.0,0.0,2.0,3.0,117.0,0.0,2.0,0.0,0.0,114.0,0.0,0.0,135.8,37.0,-1.9857829756927052
COMPONENT3,2012,1,0.0,0.0,5.0,5.0,402.0,0.0,5.0,1.0,1.0,786.0,0.0,0.0,140.1,34.0,-1.9823343590582416
COMPONENT3,2013,0,0.0,0.0,1.0,3.0,96.0,0.0,1.0,0.0,0.0,110.0,0.0,0.0,135.7,33.0,-1.9898313517418582
COMPONENT3,2013,1,0.0,0.0,5.0,3.0,525.5,0.0,6.0,0.0,1.0,734.0,0.0,0.0,138.3,33.0,-1.9872789665054813
COMPONENT3,2014,0,0.0,0.0,1.0,2.0,81.0,0.0,1.0,0.0,0.0,93.0,0.0,0.0,137.7,27.0,-1.9870779107926029
COMPONENT3,2014,1,0.0,0.0,4.0,3.0,345.0,0.0,4.0,0.0,0.0,508.0,0.0,0.0,137.1,29.0,-1.9828864103376715
COMPONENT3,2015,0,0.0,0.0,1.0,3.0,86.0,0.0,1.0,0.0,0.0,101.0,0.0,0.0,136.9,29.0,-1.9793355619847948
COMPONENT3,2015,1,0.0,0.0,3.0,2.0,265.0,0.0,3.0,0.0,0.0,704.0,0.0,0.0,139.5,27.0,-1.9869143400431417
COMPONENT3,2016,0,0.0,0.0,0.0,3.0,81.0,0.0,1.0,0.0,0.0,106.0,0.0,0.0,135.39999999999998,38.0,-1.9812370719472758
COMPONENT3,2016,1,0.0,0.0,4.0,3.0,410.5,0.0,4.5,0.0,1.0,611.5,0.0,0.0,138.64999999999998,26.0,-1.9851184695230208
COMPONENT3,2017,0,0.0,0.0,0.0,3.0,70.5,0.0,1.0,0.0,0.0,94.0,0.0,0.0,134.0,45.5,-1.9468974377323642
COMPONENT3,2017,1,0.0,0.0,4.0,4.0,349.5,0.0,5.0,0.0,0.0,612.0,0.0,0.0,134.55,34.5,-1.9534057361081296
COMPONENT3,2018,0,0.0,0.0,1.0,3.0,79.5,0.0,1.0,0.0,0.0,102.5,0.0,0.0,138.45,31.5,-1.9544387308272932
COMPONENT3,2018,1,0.0,0.0,3.0,3.0,302.0,0.0,4.0,0.0,0.0,808.0,0.0,0.0,135.2,47.0,-1.949713732256644
COMPONENT3,2019,0,0.0,0.0,1.0,3.0,98.0,0.0,2.0,0.0,0.0,114.0,0.0,0.0,134.2,85.0,-1.957619602050325
COMPONENT3,2019,1,0.0,0.0,4.0,3.0,411.5,0.0,6.0,1.0,1.0,627.0,0.0,0.0,136.7,76.5,-1.9621512701641923
COMPONENT3,2020,0,0.0,0.0,1.0,3.0,98.0,0.0,1.5,0.0,0.0,126.0,0.0,0.0,123.5,133.0,-1.915243763959836
COMPONENT3,2020,1,0.0,0.0,3.0,7.0,229.0,0.0,5.0,0.0,0.0,345.0,0.0,0.0,128.1,39.0,-1.909426661264072
COMPONENT3,2021,0,0.0,0.0,0.0,3.0,64.5,0.0,0.0,0.0,0.0,77.0,0.0,0.0,125.85,95.0,-1.9275351938099723
COMPONENT3,2021,1,0.0,0.0,6.0,3.0,398.0,0.0,5.0,0.0,1.0,458.0,0.0,0.0,131.8,38.0,-1.9200207189615983
COMPONENT3,2022,0,0.0,0.0,0.0,8.5,67.0,0.0,0.0,0.0,0.0,77.5,0.0,0.0,117.55,1220.0,-1.9098406467146054
COMPONENT3,2022,1,0.0,0.0,5.5,5.0,884.5,0.0,7.0,0.0,3.0,888.0,6.5,0.0,138.8,89.0,-1.905249663649533
COMPONENT4,2007,0,0.0,0.0,0.0,373.0,15.0,0.0,1.0,2.0,0.0,18.0,0.0,0.0,65.4,1173.0,-1.9231036078438883
COMPONENT4,2008,0,0.0,0.0,0.0,310.5,16.0,0.0,1.0,10.5,0.0,15.0,0.0,0.0,67.55000000000001,1163.5,-1.923506441923486
COMPONENT4,2008,1,0.0,0.0,0.0,343.0,20.0,0.0,0.0,25.0,0.0,18.0,0.0,0.0,70.8,1267.0,-1.9212846059099782
COMPONENT4,2009,0,0.0,0.0,0.0,268.5,15.5,0.0,0.0,54.0,0.0,14.0,0.0,0.0,70.19999999999999,1115.5,-1.990417480260759
COMPONENT4,2009,1,0.0,0.0,0.0,228.0,15.0,0.0,0.5,8.0,0.0,16.5,0.0,0.0,70.0,1135.5,-1.9850230532525022
COMPONENT4,2010,0,0.0,0.0,0.0,346.0,22.0,0.0,0.0,29.0,0.0,12.0,0.0,0.0,71.8,1181.0,-1.9808690377609892
COMPONENT4,2010,1,0.0,0.0,0.0,100.0,27.0,0.0,0.0,130.0,0.0,12.0,0.0,0.0,77.6,1126.0,-1.9537028377090944
COMPONENT4,2011,0,0.0,0.0,0.0,112.0,16.0,0.0,0.0,12.0,0.0,15.5,0.0,0.0,71.15,1153.0,-1.9920872649948373
COMPONENT4,2011,1,0.0,0.0,0.0,21.0,43.0,0.0,2.0,32.0,0.0,29.0,0.0,0.0,63.1,1157.0,-1.9228851521843537
COMPONENT4,2012,0,0.0,0.0,0.0,29.0,15.0,0.0,0.0,9.0,0.0,14.0,0.0,0.0,70.3,1162.0,-1.9925302691079603
COMPONENT4,2012,1,0.0,0.0,0.0,22.0,28.0,0.0,17.0,39.0,0.0,20.0,0.0,0.0,62.7,1244.0,-1.9795195790779383
COMPONENT4,2013,0,0.0,0.0,0.0,5.0,17.0,0.0,0.0,17.5,0.0,15.0,0.0,0.0,72.3,1154.0,-1.9928574106068817
COMPONENT4,2013,1,0.0,0.0,0.0,23.0,19.5,0.0,1.0,3.5,0.0,19.5,0.0,0.0,60.650000000000006,1058.5,-1.9923871447021821
COMPONENT4,2014,0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,27.0,0.0,20.0,0.0,0.0,72.4,1133.0,-1.9878344255088582
COMPONENT4,2014,1,0.0,0.0,0.0,8.0,23.0,0.0,0.0,8.0,0.0,43.0,0.0,0.0,72.8,1153.0,-1.9621265560519474
COMPONENT4,2015,0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,41.0,0.0,16.0,0.0,0.0,74.4,1150.0,-1.9849923837369783
COMPONENT4,2015,1,0.0,0.0,0.0,15.0,35.0,0.0,2.5,11.0,0.0,23.0,0.0,0.0,70.19999999999999,953.0,-1.9858920228590125
COMPONENT4,2016,0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,22.0,0.0,15.0,0.0,0.0,72.2,1178.0,-1.9835134315439376
COMPONENT4,2016,1,0.0,0.0,0.0,2.0,18.0,0.0,0.0,41.5,0.0,71.0,0.0,0.0,78.9,1100.0,-1.9845800491393795
COMPONENT4,2017,0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,7.0,0.0,15.0,0.0,0.0,70.1,1153.0,-1.9587665402401084
COMPONENT4,2017,1,0.0,0.0,1.0,29.5,68.5,0.0,1.5,0.5,0.0,80.0,0.0,0.0,110.1,1161.0,-1.9379193757395912
COMPONENT4,2018,0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,2.0,0.0,14.5,0.0,0.0,70.9,1129.0,-1.9805146344704907
COMPONENT4,2018,1,0.0,0.0,0.0,83.0,32.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,62.6,1099.0,-1.9117830991280393
COMPONENT4,2019,0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,3.0,0.0,18.0,0.0,0.0,66.0,1004.0,-1.962249234114043
COMPONENT4,2019,1,0.0,0.0,0.0,7.5,31.5,0.0,0.0,2.0,0.0,49.5,0.0,0.0,47.2,371.0,-1.9556996763149068
COMPONENT4,2020,0,0.0,0.0,0.0,2.0,11.5,0.0,0.0,5.5,0.0,12.0,0.0,0.0,68.35,1057.0,-1.9209729019414452
COMPONENT4,2020,1,0.0,0.0,0.0,17.5,44.0,0.0,1.5,22.0,0.0,48.0,0.0,0.0,53.349999999999994,480.5,-1.9580847531236525
COMPONENT4,2021,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,71.4,1038.0,-1.9047097979582108
COMPONENT4,2021,1,0.0,0.0,0.0,5.5,54.5,0.0,0.0,5.5,0.0,25.0,0.0,0.0,64.0,1109.0,-1.9770012710810323
COMPONENT4,2022,0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,20.0,0.0,8.0,0.0,0.0,70.4,1077.0,-1.9125757465363056
COMPONENT4,2022,1,0.0,0.0,0.0,1.0,11.0,0.0,0.0,25.0,0.0,10.0,0.0,0.0,59.8,1162.0,-1.8949135327912026
